Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-AR-A1AT	0	6	1	1	0	3	0	3	0	3	3	2	9	1	0
BRCA_TCGA-AR-A1AU	0	2	2	0	9	0	0	1	0	2	2	2	6	0	0
BRCA_TCGA-AR-A1AV	1	4	8	3	7	0	0	5	0	4	5	3	3	6	0
BRCA_TCGA-AR-A1AW	2	5	3	0	0	4	0	3	2	5	6	2	9	0	0
BRCA_TCGA-AR-A1AX	0	0	2	5	4	1	0	0	0	2	8	1	5	4	0
BRCA_TCGA-AR-A1AY	1	8	0	2	10	6	0	0	0	9	8	13	11	4	0
BRCA_TCGA-AR-A24H	9	4	2	0	14	9	0	0	1	6	15	25	57	10	0
BRCA_TCGA-AR-A24K	0	2	0	2	4	3	3	0	4	0	3	0	7	6	0
BRCA_TCGA-AR-A24L	0	0	4	0	0	2	0	0	4	0	5	6	19	11	2
BRCA_TCGA-AR-A24M	0	1	2	0	6	1	1	1	0	6	0	1	0	6	0
BRCA_TCGA-AR-A24N	0	8	2	0	5	4	1	1	3	0	10	6	2	4	1
BRCA_TCGA-AR-A24O	1	4	0	0	3	4	0	0	1	1	2	1	3	1	1
BRCA_TCGA-AR-A24P	0	0	2	3	7	0	0	0	0	0	2	0	4	1	0
BRCA_TCGA-AR-A24Q	6	0	7	4	8	21	5	7	4	7	15	38	86	21	3
BRCA_TCGA-AR-A24R	0	6	2	1	0	1	2	0	0	5	5	1	3	0	0
BRCA_TCGA-AR-A24S	1	7	2	1	10	0	1	1	8	0	7	10	9	0	0
BRCA_TCGA-AR-A24T	0	6	0	2	3	0	0	0	0	2	2	2	0	7	0
BRCA_TCGA-AR-A24U	0	1	5	3	7	0	0	1	0	0	4	17	3	3	0
BRCA_TCGA-AR-A24V	0	6	2	3	0	0	0	0	1	3	0	5	5	3	0
BRCA_TCGA-AR-A24W	0	0	1	1	0	3	0	0	0	0	4	0	2	3	0
