Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
BRCA_TCGA-AR-A1AK	2	3	8	6	0	0	1	0	2	1	8	1	10	28	12	0
BRCA_TCGA-AR-A1AL	0	2	2	1	3	0	0	0	0	6	2	1	4	5	4	0
BRCA_TCGA-AR-A1AN	0	3	10	2	0	1	0	0	2	0	0	0	2	4	7	0
BRCA_TCGA-AR-A1AO	1	4	5	7	7	2	3	0	1	4	3	11	12	24	33	5
BRCA_TCGA-AR-A1AP	1	5	12	4	1	0	0	0	3	0	3	0	9	7	5	1
BRCA_TCGA-AR-A1AQ	0	2	3	1	11	6	0	0	0	6	3	0	1	3	5	0
BRCA_TCGA-AR-A1AR	3	7	5	0	0	0	0	0	2	1	12	0	0	9	20	4
BRCA_TCGA-AR-A1AS	1	6	0	3	0	4	0	0	1	0	0	0	8	12	6	0
BRCA_TCGA-AR-A1AT	0	1	1	1	14	0	2	0	0	3	5	0	0	2	3	0
BRCA_TCGA-AR-A1AU	0	2	6	0	0	0	0	0	2	2	0	1	6	0	6	1
BRCA_TCGA-AR-A1AV	1	8	8	3	0	0	3	0	0	4	1	0	10	1	10	0
BRCA_TCGA-AR-A1AW	1	3	2	0	9	3	3	0	0	7	6	0	3	2	2	0
BRCA_TCGA-AR-A1AX	0	2	2	4	0	2	0	0	0	2	2	0	7	0	11	0
BRCA_TCGA-AR-A1AY	2	1	11	3	2	6	0	0	0	8	7	2	9	10	11	0
BRCA_TCGA-AR-A24H	10	2	8	1	7	10	3	0	1	6	20	9	2	30	43	0
BRCA_TCGA-AR-A24K	0	0	4	2	0	4	0	4	5	0	3	0	0	0	12	0
BRCA_TCGA-AR-A24L	0	3	0	0	6	2	1	0	3	0	6	0	1	7	22	2
BRCA_TCGA-AR-A24M	0	1	2	0	4	1	1	0	0	5	0	5	0	1	5	0
BRCA_TCGA-AR-A24N	0	2	8	1	9	4	0	2	1	0	5	0	6	4	4	1
BRCA_TCGA-AR-A24O	1	0	7	0	2	4	0	0	0	2	2	1	0	1	2	0
BRCA_TCGA-AR-A24P	0	2	2	3	0	1	0	0	1	0	2	3	1	0	4	0
BRCA_TCGA-AR-A24Q	5	6	0	4	12	21	7	2	3	11	9	19	22	36	72	3
BRCA_TCGA-AR-A24R	0	3	5	1	2	0	0	2	0	5	7	0	0	1	0	0
BRCA_TCGA-AR-A24S	1	3	9	2	3	0	0	1	9	0	5	5	7	9	2	1
BRCA_TCGA-AR-A24T	0	1	6	2	2	0	0	0	0	1	3	0	0	2	7	0
BRCA_TCGA-AR-A24U	0	4	4	3	0	0	1	0	0	0	1	2	10	14	5	0
BRCA_TCGA-AR-A24V	0	3	3	3	8	0	0	0	0	3	1	0	0	4	3	0
BRCA_TCGA-AR-A24W	0	1	0	1	0	3	0	0	0	0	3	0	2	0	4	0
BRCA_TCGA-AR-A24X	0	3	4	4	0	0	0	0	1	4	0	3	2	0	12	1
BRCA_TCGA-AR-A24Z	0	2	6	2	5	5	0	0	0	3	4	0	2	5	22	0
BRCA_TCGA-AR-A250	4	8	16	13	8	3	0	3	0	1	16	4	3	58	18	0
BRCA_TCGA-AR-A251	5	4	0	0	22	0	0	0	0	18	26	23	1	39	64	3
BRCA_TCGA-AR-A252	0	1	3	0	7	1	0	0	0	3	2	0	2	0	0	0
BRCA_TCGA-AR-A254	1	2	9	4	0	1	0	0	0	0	0	1	9	2	13	0
BRCA_TCGA-AR-A255	7	0	3	6	12	5	0	0	0	5	4	3	1	28	15	0
BRCA_TCGA-AR-A256	5	7	1	6	5	7	4	5	5	10	25	2	22	26	87	7
BRCA_TCGA-AR-A2LE	12	1	0	31	0	0	0	0	0	0	0	0	141	208	0	1
BRCA_TCGA-AR-A2LH	1	3	2	6	0	0	0	1	1	0	0	3	27	27	0	0
BRCA_TCGA-AR-A2LK	0	4	10	2	2	0	0	6	2	0	4	0	9	1	8	0
BRCA_TCGA-AR-A2LL	3	0	12	2	0	1	0	0	1	2	6	2	2	0	6	0
BRCA_TCGA-AR-A2LM	0	0	1	2	0	0	0	0	0	3	1	1	1	0	8	0
BRCA_TCGA-AR-A2LN	0	1	3	5	5	0	0	2	3	0	1	0	24	10	0	0
BRCA_TCGA-AR-A2LO	0	1	2	1	1	0	0	0	0	0	0	0	1	3	6	2
BRCA_TCGA-AR-A2LQ	0	0	2	0	3	0	0	0	0	2	5	0	0	0	1	0
BRCA_TCGA-AR-A2LR	1	8	4	3	0	2	6	0	1	0	12	4	1	2	26	0
BRCA_TCGA-AR-A5QM	0	2	6	2	0	0	0	4	0	3	5	1	2	0	11	0
BRCA_TCGA-AR-A5QN	0	6	6	4	11	2	0	0	1	2	8	0	5	3	1	0
BRCA_TCGA-AR-A5QP	1	1	8	2	0	2	0	0	5	1	4	1	5	2	2	0
BRCA_TCGA-AR-A5QQ	2	0	3	1	17	8	0	0	7	8	12	0	2	12	20	4
BRCA_TCGA-B6-A0I1	0	0	19	5	0	4	2	0	4	0	0	3	7	5	31	0
BRCA_TCGA-B6-A0IH	0	12	2	3	6	2	1	0	1	0	3	2	4	0	5	0
BRCA_TCGA-B6-A0RH	0	0	8	2	0	4	3	0	2	0	0	1	8	11	5	1
BRCA_TCGA-B6-A0RL	1	3	8	4	13	8	0	0	0	0	9	0	4	14	3	2
BRCA_TCGA-B6-A0RM	0	2	7	2	1	4	3	0	3	0	1	0	4	4	5	0
BRCA_TCGA-B6-A0RN	0	2	8	2	1	4	0	2	2	2	0	0	2	1	6	1
BRCA_TCGA-B6-A0RO	0	1	0	6	1	7	0	1	0	4	13	2	0	4	3	1
BRCA_TCGA-B6-A0RP	0	4	0	0	4	0	0	0	0	1	9	0	3	0	9	0
BRCA_TCGA-B6-A0RQ	1	3	4	3	0	0	0	0	2	4	6	0	17	9	5	2
BRCA_TCGA-B6-A0RT	1	1	0	2	15	0	5	0	0	2	7	11	0	17	11	0
BRCA_TCGA-B6-A0RU	2	5	2	6	10	0	0	2	0	7	0	0	7	4	11	2
BRCA_TCGA-B6-A0RV	2	0	7	4	0	0	0	0	2	0	0	0	9	43	0	0
BRCA_TCGA-B6-A0WS	1	1	0	0	0	1	3	0	2	5	1	0	1	3	0	0
