Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
BRCA_TCGA-AC-A2FO	1	0	2	2	0	0	0	0	1	0	0	0	1	8	6	0	1	0	2	2	0	1
BRCA_TCGA-AC-A2QH	1	4	0	4	1	0	2	1	3	1	0	1	1	0	3	0	0	0	2	2	0	1
BRCA_TCGA-AC-A3HN	0	3	1	1	2	1	0	0	0	2	0	0	1	1	2	0	0	2	2	0	1	3
BRCA_TCGA-AC-A3OD	2	4	4	2	0	0	2	1	4	0	0	1	4	4	2	3	5	0	0	0	0	1
BRCA_TCGA-AC-A3QP	0	1	3	1	0	1	0	0	2	2	4	0	2	0	1	0	0	0	2	0	11	5
BRCA_TCGA-AC-A3QQ	1	4	0	2	4	5	0	0	0	0	0	0	5	3	1	0	1	2	2	0	0	6
BRCA_TCGA-AC-A3W5	0	8	7	4	8	6	1	0	5	0	5	0	19	12	50	4	2	5	57	5	0	13
BRCA_TCGA-AC-A3YI	0	2	2	0	0	1	0	0	0	2	0	0	1	1	0	0	2	0	1	0	6	0
BRCA_TCGA-AC-A3YJ	1	4	1	3	0	4	0	0	0	2	1	0	6	5	2	2	4	0	0	0	0	3
BRCA_TCGA-AC-A4ZE	0	4	3	5	8	2	1	1	0	0	7	1	2	5	3	6	0	0	12	4	5	5
BRCA_TCGA-AC-A5EH	6	3	4	3	4	11	2	2	10	3	13	10	12	10	18	8	0	5	48	7	16	10
BRCA_TCGA-AC-A5EI	0	1	3	5	0	1	0	1	0	2	2	0	4	6	4	5	0	0	3	2	0	4
BRCA_TCGA-AC-A5XS	0	1	52	0	0	12	0	13	3	0	0	0	0	186	377	34	0	0	2	16	1	18
