Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q
BRCA_TCGA-AR-A1AX	0	2	4	2	0	2	0	0	0	0	2	2	6	1	0	3	8
BRCA_TCGA-AR-A1AY	1	2	3	9	7	5	0	0	2	0	3	7	9	10	0	10	4
BRCA_TCGA-AR-A24H	8	3	0	8	0	9	0	2	6	2	0	5	18	25	0	57	9
BRCA_TCGA-AR-A24K	0	0	2	4	0	3	5	0	0	4	0	0	3	0	0	6	7
BRCA_TCGA-AR-A24L	0	2	0	0	0	2	0	1	0	3	2	0	6	6	1	21	9
BRCA_TCGA-AR-A24M	0	2	0	2	0	1	0	1	5	0	2	4	0	1	0	2	5
BRCA_TCGA-AR-A24N	0	3	0	8	5	2	2	0	0	1	9	0	8	4	0	2	3
BRCA_TCGA-AR-A24O	1	0	0	5	3	4	0	0	1	0	0	2	2	1	0	3	0
BRCA_TCGA-AR-A24P	0	2	3	2	0	1	0	0	2	2	0	0	2	0	0	4	1
BRCA_TCGA-AR-A24Q	4	5	4	0	8	18	0	5	17	4	7	7	16	36	2	83	16
BRCA_TCGA-AR-A24R	0	3	1	4	3	1	2	0	0	0	0	4	6	0	0	2	0
BRCA_TCGA-AR-A24S	1	3	2	8	4	0	0	0	5	7	4	0	7	8	0	8	0
BRCA_TCGA-AR-A24T	0	1	2	5	4	0	0	0	0	0	0	1	3	2	0	0	6
BRCA_TCGA-AR-A24U	0	4	3	4	0	0	0	0	2	0	1	0	5	19	0	2	4
BRCA_TCGA-AR-A24V	0	3	3	1	10	0	0	0	0	1	0	2	0	4	0	3	1
BRCA_TCGA-AR-A24W	0	1	1	0	0	3	0	0	0	0	0	0	5	0	0	1	3
BRCA_TCGA-AR-A24X	0	3	4	3	0	0	0	0	2	1	2	4	2	0	1	0	12
BRCA_TCGA-AR-A24Z	0	2	2	4	10	5	0	0	0	0	0	2	2	5	0	12	12
BRCA_TCGA-AR-A250	3	8	13	13	11	4	2	0	5	2	0	1	12	59	0	12	10
BRCA_TCGA-AR-A251	3	4	0	0	7	1	0	0	19	1	3	14	22	31	3	83	14
BRCA_TCGA-AR-A252	0	1	0	1	12	1	0	0	0	0	1	2	1	0	0	0	0
BRCA_TCGA-AR-A254	1	2	4	8	2	0	0	0	0	0	6	0	3	3	0	7	6
BRCA_TCGA-AR-A255	7	0	6	2	14	5	0	0	2	2	0	5	2	29	0	2	13
BRCA_TCGA-AR-A256	5	5	6	0	9	6	6	3	1	4	6	7	26	26	6	77	31
BRCA_TCGA-AR-A2LE	12	0	33	0	11	0	0	0	0	0	60	0	36	242	0	0	0
BRCA_TCGA-AR-A2LH	1	2	6	1	3	0	0	0	5	0	11	0	8	34	0	0	0
BRCA_TCGA-AR-A2LK	0	4	2	11	7	0	6	0	0	2	1	0	6	3	0	1	5
BRCA_TCGA-AR-A2LL	3	0	1	14	0	1	0	0	1	1	0	2	7	0	0	6	1
BRCA_TCGA-AR-A2LM	0	0	2	1	0	0	0	0	1	0	0	2	1	0	0	7	3
BRCA_TCGA-AR-A2LN	0	1	5	2	5	0	0	0	2	1	11	0	12	15	0	0	0
BRCA_TCGA-AR-A2LO	0	1	1	2	2	0	0	0	0	0	0	0	0	3	2	5	1
BRCA_TCGA-AR-A2LQ	0	1	0	2	3	0	0	0	0	0	0	2	3	0	0	1	1
BRCA_TCGA-AR-A2LR	1	7	3	4	0	3	0	6	2	1	0	0	13	2	0	8	20
BRCA_TCGA-AR-A5QM	0	3	2	6	0	0	4	0	1	0	0	2	6	0	0	3	9
BRCA_TCGA-AR-A5QN	0	5	4	4	14	2	0	0	0	2	7	1	7	2	0	0	1
