Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-AR-A24W	0	1	1	0	0	0	0	0	3	0	0	0	3	0	2	0	3	1
BRCA_TCGA-AR-A24X	0	3	4	0	3	2	0	0	0	1	2	4	1	0	0	1	13	0
BRCA_TCGA-AR-A24Z	0	3	2	7	4	0	0	0	7	0	0	2	3	4	4	0	15	5
BRCA_TCGA-AR-A250	4	9	13	11	11	2	3	0	4	3	5	1	15	60	0	0	13	1
BRCA_TCGA-AR-A251	4	5	0	6	0	7	0	0	0	0	25	17	27	41	0	4	39	30
BRCA_TCGA-AR-A252	0	1	0	7	1	2	0	0	1	1	0	3	2	0	1	0	0	0
BRCA_TCGA-AR-A254	1	3	4	2	7	3	0	0	0	0	0	0	2	2	6	0	7	5
BRCA_TCGA-AR-A255	6	1	6	9	1	3	0	0	5	2	3	4	3	30	0	0	12	4
BRCA_TCGA-AR-A256	5	6	5	6	3	0	6	4	12	3	1	10	24	22	32	7	52	26
BRCA_TCGA-AR-A2LE	11	2	24	3	4	0	0	0	1	0	0	0	0	169	180	0	0	0
BRCA_TCGA-AR-A2LH	1	3	5	0	2	0	1	0	0	0	2	0	0	22	32	0	0	3
BRCA_TCGA-AR-A2LK	0	4	1	7	7	0	5	0	1	2	0	0	3	0	12	0	4	2
BRCA_TCGA-AR-A2LL	3	0	2	2	14	0	0	0	1	0	1	2	7	0	1	0	2	2
BRCA_TCGA-AR-A2LM	0	0	2	0	1	0	0	0	0	0	0	3	1	0	2	0	6	2
BRCA_TCGA-AR-A2LN	0	1	4	4	2	1	1	0	0	2	0	0	3	6	29	0	0	1
