Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-A2-A0YH	6.57E-01	1.58E+00	1.33E-01	9.04E-01	8.69E-01	1.78E+00	2.00E-01	1.00E-01	2.23E+00	2.01E+00	0.00E+00
BRCA_TCGA-A2-A0YI	0.00E+00	4.07E-01	0.00E+00	2.21E-01	3.59E-01	4.23E-01	4.01E-01	4.33E-01	8.36E-01	6.00E-01	0.00E+00
BRCA_TCGA-A2-A0YJ	6.83E-01	2.39E+00	2.60E+00	7.18E-01	5.26E-01	2.82E+00	9.78E-01	6.99E-01	1.49E+00	7.45E-01	8.44E-01
BRCA_TCGA-A2-A0YK	1.16E+00	1.46E+00	0.00E+00	1.00E-01	4.00E+00	1.67E+00	8.41E-01	5.26E-01	8.06E-01	3.74E+00	0.00E+00
BRCA_TCGA-A2-A0YL	0.00E+00	1.12E+00	0.00E+00	2.21E-01	3.89E-01	1.51E+00	6.50E-01	0.00E+00	6.01E-01	7.72E-01	0.00E+00
BRCA_TCGA-A2-A0YM	0.00E+00	2.18E+00	6.51E-01	9.04E-01	1.47E+00	5.12E-01	9.64E-01	0.00E+00	1.51E+00	1.35E+00	2.91E-01
BRCA_TCGA-A2-A0YT	4.58E-01	1.57E+00	5.58E-01	1.49E+00	1.27E+00	0.00E+00	9.75E-01	0.00E+00	2.08E+00	2.22E+00	0.00E+00
BRCA_TCGA-A2-A1FV	0.00E+00	1.29E+00	2.00E-01	1.25E+00	6.57E-01	2.13E+00	9.78E-01	0.00E+00	1.86E+00	1.63E+00	0.00E+00
BRCA_TCGA-A2-A1FW	1.00E+00	1.59E+00	1.60E+00	1.39E+00	9.00E-01	3.69E+00	1.19E+00	7.33E-01	2.59E+00	1.05E+00	6.67E-01
BRCA_TCGA-A2-A1FX	4.01E-01	8.92E-01	3.35E-01	1.00E+00	5.16E-01	9.00E-01	5.97E-01	5.47E-01	1.22E+00	4.67E-01	0.00E+00
BRCA_TCGA-A2-A1FZ	0.00E+00	1.05E+00	1.05E+00	5.42E-01	0.00E+00	1.33E+00	4.27E-01	2.00E-01	6.83E-01	6.23E-01	5.54E-01
BRCA_TCGA-A2-A1G0	0.00E+00	1.00E-01	0.00E+00	0.00E+00	4.96E-01	1.35E+00	1.00E-01	0.00E+00	1.22E+00	7.37E-01	1.00E-01
BRCA_TCGA-A2-A1G1	5.04E-01	7.45E-01	1.62E+00	0.00E+00	2.77E-01	1.98E+00	0.00E+00	3.00E-01	1.30E+00	5.97E-01	0.00E+00
BRCA_TCGA-A2-A1G6	0.00E+00	2.24E-01	0.00E+00	3.71E-01	0.00E+00	4.00E-01	4.07E-01	4.07E-01	7.00E-01	3.48E-01	2.69E-01
BRCA_TCGA-A2-A259	0.00E+00	7.57E-01	0.00E+00	5.12E-01	8.49E-01	1.53E+00	6.84E-01	0.00E+00	8.31E-01	1.03E+00	2.00E-01
BRCA_TCGA-A2-A25A	1.07E+00	1.83E+00	1.26E+00	7.48E-01	9.57E-01	9.00E-01	3.65E-01	1.05E+00	2.52E+00	1.14E+00	0.00E+00
BRCA_TCGA-A2-A25B	8.19E-01	1.00E-01	0.00E+00	9.40E-01	8.23E-01	2.49E+00	8.16E-01	1.71E+00	2.17E+00	7.31E-01	0.00E+00
BRCA_TCGA-A2-A25C	3.06E-01	4.27E-01	6.67E-01	0.00E+00	0.00E+00	1.49E+00	9.07E-01	1.93E+00	1.35E+00	8.19E-01	0.00E+00
BRCA_TCGA-A2-A25D	0.00E+00	1.27E+00	1.54E+00	6.16E-01	5.54E-01	2.39E+00	7.34E-01	2.00E-01	1.30E+00	7.00E-01	1.03E+00
BRCA_TCGA-A2-A25E	5.67E-01	6.33E-01	7.37E-01	7.31E-01	4.58E-01	1.52E+00	2.01E+00	3.96E-01	1.61E+00	8.17E-01	5.37E-01
BRCA_TCGA-A2-A25F	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.14E-01	0.00E+00	0.00E+00	3.14E-01	0.00E+00	0.00E+00
BRCA_TCGA-A2-A3KD	0.00E+00	8.60E-01	0.00E+00	2.69E-01	0.00E+00	8.92E-01	6.37E-01	0.00E+00	0.00E+00	2.13E-01	0.00E+00
BRCA_TCGA-A2-A3XT	6.23E-01	8.54E-01	1.97E+00	6.80E-01	0.00E+00	2.24E+00	2.62E+00	0.00E+00	1.81E+00	2.24E+00	9.07E-01
BRCA_TCGA-A2-A3XU	0.00E+00	1.19E+00	1.04E+00	1.00E-01	3.07E-01	5.86E-01	6.18E-01	3.00E-01	1.40E+00	2.33E-01	0.00E+00
