Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-A7-A26I	7.72E-01	8.16E-01	1.19E+00	1.11E+00	3.42E-01	0.00E+00	6.67E-01	2.10E+00	2.21E-01	9.52E-01
BRCA_TCGA-A7-A26J	8.33E-01	7.61E-01	2.17E+00	0.00E+00	2.67E-01	4.71E-01	4.00E-01	1.87E+00	0.00E+00	9.17E-01
BRCA_TCGA-A7-A2KD	5.62E-01	1.75E+00	1.71E+00	1.33E-01	1.28E+00	0.00E+00	1.00E-01	1.28E+00	1.05E+00	6.46E-01
BRCA_TCGA-A7-A3RF	0.00E+00	8.36E-01	1.81E+00	2.21E-01	0.00E+00	1.06E+00	1.22E+00	1.71E+00	1.00E-01	4.52E-01
BRCA_TCGA-A7-A425	0.00E+00	8.75E-01	1.03E+00	0.00E+00	4.99E-01	4.42E-01	7.64E-01	1.14E+00	4.67E-01	0.00E+00
BRCA_TCGA-A7-A4SC	1.60E+00	1.45E+00	9.66E-01	0.00E+00	8.33E-01	0.00E+00	3.00E-01	1.64E+00	5.04E-01	5.78E-01
BRCA_TCGA-A7-A4SD	0.00E+00	1.26E+00	1.58E+00	1.06E+00	5.97E-01	8.03E-01	8.88E-01	1.18E+00	1.55E+00	6.11E-01
BRCA_TCGA-A7-A4SE	6.57E-01	2.00E-01	3.72E+00	1.98E+00	1.14E+00	4.82E-01	1.27E+00	3.20E+00	3.89E-01	2.43E+00
BRCA_TCGA-A7-A56D	1.70E+00	2.61E+00	3.87E+00	1.08E+00	1.41E+00	1.54E+00	2.21E-01	2.58E+00	1.37E+00	3.30E+00
BRCA_TCGA-A7-A5ZV	9.36E-01	2.61E+00	3.33E+00	2.44E+00	2.38E+00	2.26E+00	1.66E+00	4.96E+00	2.76E+00	2.52E+00
BRCA_TCGA-A7-A5ZW	5.37E-01	7.89E-01	1.00E+00	9.36E-01	4.96E-01	9.32E-01	1.25E+00	7.77E-01	1.00E-01	1.08E+00
BRCA_TCGA-A7-A5ZX	9.55E-01	8.72E-01	1.90E+00	5.33E-01	9.07E-01	2.13E-01	7.64E-01	1.19E+00	6.63E-01	1.79E+00
BRCA_TCGA-A7-A6VV	0.00E+00	1.06E+00	2.32E+00	1.53E+00	0.00E+00	0.00E+00	3.00E-01	1.99E+00	3.06E-01	1.14E+00
BRCA_TCGA-A7-A6VW	0.00E+00	1.94E+00	2.76E+00	1.18E+00	2.13E-01	9.07E-01	1.61E+00	3.05E+00	7.34E-01	9.00E-01
BRCA_TCGA-A7-A6VX	1.33E-01	6.70E-01	3.91E+00	2.69E+00	8.44E-01	2.22E+00	1.19E+00	2.58E+00	1.67E+00	2.46E+00
BRCA_TCGA-A7-A6VY	1.14E+00	1.32E+00	2.76E+00	2.36E+00	1.43E+00	3.00E-01	1.14E+00	3.13E+00	8.03E-01	2.08E+00
BRCA_TCGA-A8-A075	1.11E+00	1.11E+00	2.29E+00	1.42E+00	6.29E-01	1.14E+00	1.26E+00	1.62E+00	1.24E+00	9.71E-01
BRCA_TCGA-AC-A23C	1.47E+00	1.51E+00	1.91E+00	1.82E+00	1.77E+00	0.00E+00	8.75E-01	2.28E+00	9.48E-01	1.09E+00
BRCA_TCGA-AC-A23E	5.26E-01	7.77E-01	6.00E-01	2.00E-01	2.13E-01	0.00E+00	0.00E+00	8.83E-01	3.06E-01	1.00E-01
BRCA_TCGA-AC-A23H	9.21E+00	3.97E+00	1.71E+01	6.36E+00	3.47E+00	3.83E+00	1.87E+00	1.24E+01	4.14E+01	3.11E+01
